YEAR,STATE,STRATUM,PLOT,DATE,CKTYPE,WETHAB,HANDFEED,ABDU_TIP,ABDU_TIB,AGWT_TIP,AGWT_TIB,BWTE_TIP,BWTE_TIB,CAGO_TIP,CAGO_TIB,CAGO_TIBN,COME_TIP,COME_TIB,GADW_TIP,GADW_TIB,HOME_TIP,HOME_TIB,MALL_TIP,MALL_TIB,MUSW_TIP,MUSW_TIB,WODU_TIP,WODU_TIB,OTHERTOT,TOTDUCKS
1993,CT,012 ,0002,5/5/1993,2,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,1,2,,2
1993,CT,012 ,0004,5/8/1993,1,Y,Y,0,0,,0,,0,,2,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0006,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,3,6,,0,0,0,,6
1993,CT,012 ,0008,5/1/1993,2,Y,N,0,0,,0,,0,,1,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0010,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,2,4,,0,0,0,,4
1993,CT,012 ,0012,5/1/1993,1,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0014,5/6/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,012 ,0016,5/1/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0018,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,012 ,0020,5/5/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,012 ,0022,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0024,4/29/1993,1,Y,N,0,0,,0,,0,,3,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0026,4/3/1993,3,N,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0028,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0030,5/1/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,012 ,0032,4/25/1993,1,Y,Y,1,2,,0,,0,,2,,,0,,,,0,4,8,,1,0,0,,10
1993,CT,012 ,0034,4/28/1993,1,Y,N,0,0,,0,,0,,5,,,0,,,,0,5,10,,0,4,8,,18
1993,CT,012 ,0036,5/8/1993,2,Y,N,0,0,,0,,0,,1,,,0,,,,0,1,2,,0,1,2,,4
1993,CT,012 ,0038,5/1/1993,1,Y,Y,0,0,,0,,0,,0,,,0,,,,0,8,16,,0,0,0,,16
1993,CT,012 ,0040,5/5/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,1,2,,2
1993,CT,012 ,0042,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0044,5/1/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0046,5/5/1993,2,Y,N,2,4,,0,,0,,4,,,0,,,,0,0,0,,0,1,2,,6
1993,CT,012 ,0048,5/6/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,0,,0
1993,CT,012 ,0050,5/6/1993,2,Y,N,0,0,,0,,0,,10,,,0,,,,0,2,4,,0,0,0,,4
1993,CT,012 ,0052,5/8/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,012 ,0054,4/29/1993,1,Y,N,0,0,,0,,0,,7,,,0,,,,0,1,2,,0,0,0,,2
1993,CT,012 ,0056,5/2/1993,1,Y,N,0,0,,0,,0,,0,,,0,,,,0,1,2,,0,1,2,,4
1993,CT,012 ,0058,5/8/1993,1,Y,N,0,0,,0,,0,,6,,,0,,,,0,1,2,,0,1,2,,4
1993,CT,012 ,0060,5/7/1993,1,Y,Y,0,0,,0,,0,,4,,,0,,,,0,6,12,,0,1,2,,14
